instancia                          items       OPT      H_BL     H_PSO    HoptBL   HoptPSO       ms
2000HopperT6c.csv                     97    200.00    242.00    235.00    1.2100    1.1750      132
2000HopperT6d.csv                     97    200.00    241.00    233.00    1.2050    1.1650      121
2000HopperT6e.csv                     97    200.00    245.00    231.00    1.2250    1.1550      137
2000HopperT7a.csv                    199    200.00    224.00    224.00    1.1200    1.1200      362
2000HopperT7b.csv                    199    200.00    227.00    227.00    1.1350    1.1350      358
2000HopperT7c.csv                    199    200.00    235.00    229.00    1.1750    1.1450      378
2000HopperT7d.csv                    199    200.00    231.00    225.00    1.1550    1.1250      364
2000HopperT7e.csv                    199    200.00    232.00    228.00    1.1600    1.1400      357
2001WangValenzuelaNice1.100.csv      100    100.00    119.82    114.94    1.1982    1.1494      141
2001WangValenzuelaNice1.1t.csv      1000    100.00    113.96    112.60    1.1396    1.1260     1766
2001WangValenzuelaNice1.200.csv      200    100.00    117.46    114.72    1.1746    1.1472      404
2001WangValenzuelaNice1.25.csv        25    100.00    123.81    113.43    1.2381    1.1343       19
2001WangValenzuelaNice1.2t.csv      2000    100.00    112.43    111.47    1.1243    1.1147     2056
2001WangValenzuelaNice1.50.csv        50    100.00    122.36    116.02    1.2236    1.1602       50
2001WangValenzuelaNice1.500.csv      500    100.00    117.19    113.37    1.1719    1.1337      520
2001WangValenzuelaNice1.5t.csv      5000    100.00    110.55    110.11    1.1055    1.1011     4558
2001WangValenzuelaNice10.100.csv     100    100.00    121.22    114.99    1.2122    1.1499      143
2001WangValenzuelaNice10.1t.csv     1000    100.00    112.97    112.42    1.1297    1.1242     1833
2001WangValenzuelaNice10.200.csv     200    100.00    116.32    113.78    1.1632    1.1378      402
2001WangValenzuelaNice10.25.csv       25    100.00    122.52    112.20    1.2252    1.1220       21
2001WangValenzuelaNice10.2t.csv     2000    100.00    111.92    110.88    1.1192    1.1088     2123
2001WangValenzuelaNice10.50.csv       50    100.00    124.03    114.41    1.2403    1.1441       54
2001WangValenzuelaNice10.500.csv     500    100.00    115.54    113.35    1.1554    1.1335      539
2001WangValenzuelaNice10.5t.csv     5000    100.00    110.78    110.22    1.1078    1.1022     4657
2001WangValenzuelaNice11.100.csv     100    100.00    117.35    114.85    1.1735    1.1485      150
2001WangValenzuelaNice11.200.csv     200    100.00    117.95    114.01    1.1795    1.1401      426
2001WangValenzuelaNice11.25.csv       25    100.00    116.45    112.78    1.1645    1.1278       19
2001WangValenzuelaNice11.50.csv       50    100.00    123.28    113.39    1.2328    1.1339       51
2001WangValenzuelaNice12.100.csv     100    100.00    121.43    115.02    1.2143    1.1502      137
2001WangValenzuelaNice12.200.csv     200    100.00    120.48    114.78    1.2048    1.1478      384
2001WangValenzuelaNice12.25.csv       25    100.00    125.22    115.60    1.2522    1.1560       19
2001WangValenzuelaNice12.50.csv       50    100.00    121.50    113.06    1.2150    1.1306       50
2001WangValenzuelaNice13.100.csv     100    100.00    124.87    114.71    1.2487    1.1471      137
2001WangValenzuelaNice13.200.csv     200    100.00    116.72    113.90    1.1672    1.1390      444
2001WangValenzuelaNice13.25.csv       25    100.00    125.91    112.71    1.2591    1.1271       19
2001WangValenzuelaNice13.50.csv       50    100.00    122.38    114.73    1.2238    1.1473       53
2001WangValenzuelaNice14.100.csv     100    100.00    119.04    114.60    1.1904    1.1460      163
2001WangValenzuelaNice14.200.csv     200    100.00    117.74    114.71    1.1774    1.1471      455
2001WangValenzuelaNice14.25.csv       25    100.00    129.58    113.73    1.2958    1.1373       20
2001WangValenzuelaNice14.50.csv       50    100.00    119.73    115.66    1.1973    1.1566       55
2001WangValenzuelaNice15.100.csv     100    100.00    118.72    113.95    1.1872    1.1395      138
2001WangValenzuelaNice15.200.csv     200    100.00    118.39    114.37    1.1839    1.1437      390
2001WangValenzuelaNice15.25.csv       25    100.00    124.40    113.80    1.2440    1.1380       22
2001WangValenzuelaNice15.50.csv       50    100.00    121.00    115.09    1.2100    1.1509       55
2001WangValenzuelaNice16.100.csv     100    100.00    120.14    114.34    1.2014    1.1434      151
2001WangValenzuelaNice16.200.csv     200    100.00    119.06    113.51    1.1906    1.1351      453
2001WangValenzuelaNice16.25.csv       25    100.00    122.53    114.08    1.2253    1.1408       22
2001WangValenzuelaNice16.50.csv       50    100.00    123.22    114.08    1.2322    1.1408       49
2001WangValenzuelaNice17.100.csv     100    100.00    123.44    113.84    1.2344    1.1384      146
2001WangValenzuelaNice17.200.csv     200    100.00    115.42    114.02    1.1542    1.1402      391
2001WangValenzuelaNice17.25.csv       25    100.00    117.52    113.25    1.1752    1.1325       18
2001WangValenzuelaNice17.50.csv       50    100.00    124.17    114.57    1.2417    1.1457       54
2001WangValenzuelaNice18.100.csv     100    100.00    122.08    114.14    1.2208    1.1414      144
2001WangValenzuelaNice18.200.csv     200    100.00    116.85    115.20    1.1685    1.1520      409
2001WangValenzuelaNice18.25.csv       25    100.00    112.60    111.94    1.1260    1.1194       21
2001WangValenzuelaNice18.50.csv       50    100.00    125.91    115.54    1.2591    1.1554       55
2001WangValenzuelaNice19.100.csv     100    100.00    118.19    114.25    1.1819    1.1425      152
2001WangValenzuelaNice19.200.csv     200    100.00    118.14    114.68    1.1814    1.1468      406
2001WangValenzuelaNice19.25.csv       25    100.00    125.88    113.00    1.2588    1.1300       22
2001WangValenzuelaNice19.50.csv       50    100.00    126.58    114.28    1.2658    1.1428       57
2001WangValenzuelaNice2.100.csv      100    100.00    120.16    114.66    1.2016    1.1466      148
2001WangValenzuelaNice2.1t.csv      1000    100.00    112.51    112.09    1.1251    1.1209     1971
2001WangValenzuelaNice2.200.csv      200    100.00    116.21    113.84    1.1621    1.1384      426
2001WangValenzuelaNice2.25.csv        25    100.00    122.18    111.35    1.2218    1.1135       18
2001WangValenzuelaNice2.2t.csv      2000    100.00    112.54    111.31    1.1254    1.1131     2247
