instancia,items,ancho,opt_conocido,OPT_ref,H_BL,H_PSO,Hopt_BL,Hopt_PSO,ms
2001WangValenzuelaNice1.100.csv,100,100.0000,true,100.0000,119.8229,114.9356,1.198229,1.149356,141
2001WangValenzuelaNice1.1t.csv,1000,100.0000,true,100.0000,113.9557,112.5959,1.139557,1.125959,1766
2001WangValenzuelaNice1.200.csv,200,100.0000,true,100.0000,117.4644,114.7161,1.174644,1.147161,404
2001WangValenzuelaNice1.25.csv,25,100.0000,true,100.0000,123.8127,113.4332,1.238127,1.134332,19
2001WangValenzuelaNice1.2t.csv,2000,100.0000,true,100.0000,112.4254,111.4682,1.124254,1.114682,2056
2001WangValenzuelaNice1.50.csv,50,100.0000,true,100.0000,122.3573,116.0152,1.223573,1.160152,50
2001WangValenzuelaNice1.500.csv,500,100.0000,true,100.0000,117.1935,113.3663,1.171935,1.133663,520
2001WangValenzuelaNice1.5t.csv,5000,100.0000,true,100.0000,110.5512,110.1106,1.105512,1.101106,4558
2001WangValenzuelaNice10.100.csv,100,100.0000,true,100.0000,121.2238,114.9859,1.212238,1.149859,143
2001WangValenzuelaNice10.1t.csv,1000,100.0000,true,100.0000,112.9692,112.4244,1.129692,1.124244,1833
2001WangValenzuelaNice10.200.csv,200,100.0000,true,100.0000,116.3191,113.7826,1.163191,1.137826,402
2001WangValenzuelaNice10.25.csv,25,100.0000,true,100.0000,122.5215,112.1965,1.225215,1.121965,21
2001WangValenzuelaNice10.2t.csv,2000,100.0000,true,100.0000,111.9225,110.8761,1.119225,1.108761,2123
2001WangValenzuelaNice10.50.csv,50,100.0000,true,100.0000,124.0348,114.4078,1.240348,1.144078,54
2001WangValenzuelaNice10.500.csv,500,100.0000,true,100.0000,115.5421,113.3539,1.155421,1.133539,539
2001WangValenzuelaNice10.5t.csv,5000,100.0000,true,100.0000,110.7812,110.2223,1.107812,1.102223,4657
2001WangValenzuelaNice11.100.csv,100,100.0000,true,100.0000,117.3496,114.8545,1.173496,1.148545,150
2001WangValenzuelaNice11.200.csv,200,100.0000,true,100.0000,117.9473,114.0106,1.179473,1.140106,426
2001WangValenzuelaNice11.25.csv,25,100.0000,true,100.0000,116.4492,112.7788,1.164492,1.127788,19
2001WangValenzuelaNice11.50.csv,50,100.0000,true,100.0000,123.2795,113.3913,1.232795,1.133913,51
2001WangValenzuelaNice12.100.csv,100,100.0000,true,100.0000,121.4289,115.0216,1.214289,1.150216,137
2001WangValenzuelaNice12.200.csv,200,100.0000,true,100.0000,120.4807,114.7845,1.204807,1.147845,384
2001WangValenzuelaNice12.25.csv,25,100.0000,true,100.0000,125.2154,115.6001,1.252154,1.156001,19
2001WangValenzuelaNice12.50.csv,50,100.0000,true,100.0000,121.4994,113.0588,1.214994,1.130588,50
2001WangValenzuelaNice13.100.csv,100,100.0000,true,100.0000,124.8665,114.7117,1.248665,1.147117,137
2001WangValenzuelaNice13.200.csv,200,100.0000,true,100.0000,116.7183,113.8954,1.167183,1.138954,444
2001WangValenzuelaNice13.25.csv,25,100.0000,true,100.0000,125.9082,112.7129,1.259082,1.127129,19
2001WangValenzuelaNice13.50.csv,50,100.0000,true,100.0000,122.3843,114.7256,1.223843,1.147256,53
2001WangValenzuelaNice14.100.csv,100,100.0000,true,100.0000,119.0417,114.6015,1.190417,1.146015,163
2001WangValenzuelaNice14.200.csv,200,100.0000,true,100.0000,117.7365,114.7076,1.177365,1.147076,455
2001WangValenzuelaNice14.25.csv,25,100.0000,true,100.0000,129.5822,113.7323,1.295822,1.137323,20
2001WangValenzuelaNice14.50.csv,50,100.0000,true,100.0000,119.7326,115.6577,1.197326,1.156577,55
2001WangValenzuelaNice15.100.csv,100,100.0000,true,100.0000,118.7197,113.9538,1.187197,1.139538,138
2001WangValenzuelaNice15.200.csv,200,100.0000,true,100.0000,118.3941,114.3690,1.183941,1.143690,390
2001WangValenzuelaNice15.25.csv,25,100.0000,true,100.0000,124.4017,113.8046,1.244017,1.138046,22
2001WangValenzuelaNice15.50.csv,50,100.0000,true,100.0000,120.9950,115.0891,1.209950,1.150891,55
2001WangValenzuelaNice16.100.csv,100,100.0000,true,100.0000,120.1439,114.3420,1.201439,1.143420,151
2001WangValenzuelaNice16.200.csv,200,100.0000,true,100.0000,119.0609,113.5053,1.190609,1.135053,453
2001WangValenzuelaNice16.25.csv,25,100.0000,true,100.0000,122.5286,114.0773,1.225286,1.140773,22
2001WangValenzuelaNice16.50.csv,50,100.0000,true,100.0000,123.2181,114.0761,1.232181,1.140761,49
2001WangValenzuelaNice17.100.csv,100,100.0000,true,100.0000,123.4424,113.8416,1.234424,1.138416,146
2001WangValenzuelaNice17.200.csv,200,100.0000,true,100.0000,115.4201,114.0153,1.154201,1.140153,391
2001WangValenzuelaNice17.25.csv,25,100.0000,true,100.0000,117.5223,113.2509,1.175223,1.132509,18
2001WangValenzuelaNice17.50.csv,50,100.0000,true,100.0000,124.1698,114.5668,1.241698,1.145668,54
2001WangValenzuelaNice18.100.csv,100,100.0000,true,100.0000,122.0816,114.1377,1.220816,1.141377,144
2001WangValenzuelaNice18.200.csv,200,100.0000,true,100.0000,116.8524,115.1979,1.168524,1.151979,409
2001WangValenzuelaNice18.25.csv,25,100.0000,true,100.0000,112.5971,111.9410,1.125971,1.119410,21
2001WangValenzuelaNice18.50.csv,50,100.0000,true,100.0000,125.9149,115.5371,1.259149,1.155371,55
2001WangValenzuelaNice19.100.csv,100,100.0000,true,100.0000,118.1918,114.2502,1.181918,1.142502,152
2001WangValenzuelaNice19.200.csv,200,100.0000,true,100.0000,118.1438,114.6825,1.181438,1.146825,406
2001WangValenzuelaNice19.25.csv,25,100.0000,true,100.0000,125.8833,113.0044,1.258833,1.130044,22
2001WangValenzuelaNice19.50.csv,50,100.0000,true,100.0000,126.5778,114.2845,1.265778,1.142845,57
2001WangValenzuelaNice2.100.csv,100,100.0000,true,100.0000,120.1601,114.6554,1.201601,1.146554,148
2001WangValenzuelaNice2.1t.csv,1000,100.0000,true,100.0000,112.5092,112.0907,1.125092,1.120907,1971
2001WangValenzuelaNice2.200.csv,200,100.0000,true,100.0000,116.2115,113.8379,1.162115,1.138379,426
2001WangValenzuelaNice2.25.csv,25,100.0000,true,100.0000,122.1805,111.3452,1.221805,1.113452,18
2001WangValenzuelaNice2.2t.csv,2000,100.0000,true,100.0000,112.5400,111.3148,1.125400,1.113148,2247
